name,n,n_squared,n_comparisons_total,n_comparisons_non_self,sum_scores_all,sum_scores_non_self,mean_score_all,mean_score_non_self,var_score_non_self,std_score_non_self,median_score_non_self,q25_score,q75_score,min_score,max_score,fraction_strong_binders,fraction_moderate_binders,fraction_weak_binders,log_n,sqrt_n,expected_random,enrichment_score,size_bin,z_score,effect_size,category,foldseek_match_coverage
RANDOM_MGC_93,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_34,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_22,8,64,8,2,6.24,0.24,0.78,0.12,0.0,0.0,0.12,0.78,1.0,0.12,1.0,0.75,0.0,0.25,2.0794415416798357,2.8284271247461903,0.3,2.6,small,0.0,0.0,RANDOM,0.0
MGC_CANDIDATE_136,9,81,9,6,8.8,5.799999999999999,0.9777777777777779,0.9666666666666665,0.00046186666666666747,0.02149108342235606,0.956,0.956,1.0,0.946,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,3.2592592592592595,small,31.53762723161368,31.0206169491282,MGC,1.0
MGC_CANDIDATE_44,16,256,16,12,13.042000000000002,9.042,0.8151250000000001,0.7535,0.0056824545454545435,0.07538205718507915,0.7555000000000001,0.72725,0.901,0.651,1.0,1.0,0.0,0.0,2.772588722239781,4.0,0.3,2.717083333333334,medium,6.833522713969685,6.016020481990297,MGC,1.0
MGC_CANDIDATE_226,9,81,9,6,7.4959999999999996,4.496,0.8328888888888888,0.7493333333333334,0.00014306666666666693,0.01196104789166346,0.745,0.741,1.0,0.739,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.7762962962962963,small,44.55202367848543,37.56638527018248,MGC,1.0
RANDOM_MGC_28,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_37,4,16,4,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.3862943611198906,2.0,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_94,3,9,3,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0986122886681096,1.7320508075688772,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
RANDOM_MGC_27,4,16,4,0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.3862943611198906,2.0,0.3,3.3333333333333335,small,0.0,0.0,RANDOM,0.0
MGC_CANDIDATE_19,9,81,9,6,7.0920000000000005,4.092,0.788,0.6819999999999999,0.010817200000000003,0.10400576907075877,0.642,0.642,1.0,0.591,1.0,1.0,0.0,0.0,2.197224577336219,3.0,0.3,2.626666666666667,small,4.692047415831294,3.67287318206466,MGC,1.0
